ID;areaGobierno;delegacion;servicio;departamento;nivelPuesto;puesto;nombrePuesto;tipoPuesto;tipoPersonal;formaProvision;adcripcionGrupos;adcripcionEscalas;nivelComplementoDestino;complementoEspecificoPuntos;complementoEspecificoEuros;observacionesRequisitos;situacion
1;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA;AU;AU014;AYUDANTE EDUCADOR/A;NS;F;-;C2;-;14;190;7536;"TA-0; AERL";
2;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO;AU;AU014;AYUDANTE EDUCADOR/A;NS;F;-;C2;-;14;190;7536;TA-0;
3;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO;AU;AU014;AYUDANTE EDUCADOR/A;NS;F;-;C2;-;14;190;7536;TA-0;
4;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO;AU;AU014;AYUDANTE EDUCADOR/A;NS;F;-;C2;-;14;190;7536;"TA-0; AERL";
5;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO;AU;AU014;AYUDANTE EDUCADOR/A;NS;F;-;C2;-;14;190;7536;"TA-0; AERL";
6;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO;AU;AU014;AYUDANTE EDUCADOR/A;NS;F;-;C2;-;14;190;7536;TA-0;
7;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO;AU;AU014;AYUDANTE EDUCADOR/A;NS;F;-;C2;-;14;190;7536;TA-0;
8;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO;AU;AU014;AYUDANTE EDUCADOR/A;NS;F;-;C2;-;14;190;7536;TA-0;
9;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;DEPARTAMENTO DE  PROYECTOS Y ASISTENCIA TÉCNICA;TE;TE023;TÉCNICO/A DE PUBLICIDAD Y PATROCINIO;NS;L;-;C1;-;16;195;7735;TA-0;
10;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;STAFF;SECRETARIA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
11;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;STAFF;SERVICIO DE APOYO ADMINISTRATIVO AL TRIBUNAL DE LAS RECLAMACIONES ECONÓMICO-ADMINISTRATIVAS Y DEL TRIBUNAL ESPECIAL EN MATERIA DE CONTRATACIÓN;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
12;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
13;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";VACANTE
14;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
